,Step,Value
1624950880,381510,28.88358879
1624950883,382210,29.66424561
1624950914,392910,28.86716461
1624950922,395710,27.89917946
1624950930,398510,29.49480057
1624950945,403710,28.90180588
1624950964,409910,30.77649498
1624950993,419710,28.75266647
1624951002,422810,29.46564293
1624951004,423310,29.03657341
1624951029,431810,29.04900551
1624951029,432010,30.17000771
1624951053,440110,27.63193512
1624951080,449310,28.66344643
1624951085,451010,29.09289551
1624951091,453110,29.41958809
1624951130,466510,30.38173866
1624951131,466910,29.52833176
1624951134,467710,28.25713158
1624951167,478910,29.90213776
1624951171,480310,29.19262695
1624951182,484110,28.64459038
1624951185,485310,29.60106468
1624951198,489510,29.64367485
1624951220,497210,29.46470833
1624951243,505110,30.21047974
1624951243,505310,30.52850342
1624951259,510710,29.40683556
1624951267,513510,29.83963585
1624951297,524010,29.95332527
1624951329,534610,28.56049156
1624951333,536010,29.19563866
1624951351,542110,28.57411385
1624951388,555010,28.31582069
1624951426,568010,29.91134453
1624951439,572410,28.82149124
1624951463,580910,30.66510201
1624951469,582910,28.3963356
1624951480,586510,27.94572067
1624951482,587210,27.19397163
1624951492,590810,29.83789253
1624951498,592910,29.37592316
1624951517,599110,30.95879936
1624951522,601110,28.85457039
1624951555,612210,30.30215836
1624951557,613210,31.60255051
1624951577,620110,29.72314262
1624951580,621410,30.13679123
1624951582,622010,31.18206406
1624951586,623310,30.90643692
1624951603,629010,27.96073723
1624951610,631310,30.91853333
1624951628,637710,30.40257263
1624951670,652110,30.18463898
1624951685,657510,31.04629517
1624951694,660410,29.8151989
1624951709,665810,30.18780899
1624951720,669710,31.03661537
1624951721,670010,30.4889431
1624951725,671210,29.86076355
1624951734,674310,31.62710571
1624951766,685510,30.75732613
1624951798,696710,26.24637985
1624951806,699310,30.12914848
1624951839,710710,29.17063141
1624951841,711510,28.75091553
1624951853,715610,30.59627914
1624951880,724810,27.12461662
1624951899,731210,30.0569725
1624951912,736010,30.41692734
1624951919,738310,28.24545479
1624951939,745110,31.88181686
1624951942,746110,30.05909348
1624951943,746410,30.08470726
1624951947,747910,29.75870323
1624951957,751210,28.88126183
1624952010,769410,28.61616135
1624952029,776110,30.24240875
1624952037,778910,29.81917763
1624952040,779910,28.92638206
1624952050,783410,29.8215847
1624952096,799210,29.00897408
1624952117,806710,29.63570595
1624952151,818110,30.60494804
1624952163,822210,30.74198532
1624952195,833510,30.23549652
1624952204,836410,31.15337563
1624952205,836910,30.49968719
1624952208,837810,29.96491241
1624952234,846810,30.83935547
1624952235,847110,29.57625961
1624952243,849910,31.35135078
1624952246,850910,30.71936798
1624952273,860210,29.37933922
1624952282,863610,29.23890686
1624952300,869610,28.33558655
1624952336,882010,30.36794662
1624952353,887910,28.65654755
1624952361,890510,29.75912094
1624952362,890810,30.87774849
1624952368,892910,30.49264145
1624952370,893610,30.10176086
1624952387,899410,29.99687386
1624952389,900010,29.50436211
1624952405,905610,30.62759399
1624952465,926110,29.30286789
1624952481,931710,30.33802223
1624952490,934910,31.44983864
1624952516,943610,30.67483521
1624952525,946910,29.98847771
1624952549,954810,30.60771751
1624952551,955510,28.56603622
1624952555,956810,30.8351326
1624952572,962810,29.49296951
1624952581,965810,31.81027222
1624952588,968110,30.84276772
1624952592,969910,29.83111382
1624952635,984410,30.00518608
1624952653,990810,30.38792419
1624952697,1005910,30.74529076
1624952704,1008510,31.17600822
1624952760,1027710,29.57293701
1624952762,1028410,30.00206947
1624952795,1039710,30.66639709
1624952795,1040010,29.10318565
1624952802,1042110,30.42598724
1624952819,1048010,28.99328613
1624952831,1052310,29.42620087
1624952856,1060810,29.98723984
1624952865,1063910,30.56681442
1624952870,1065510,27.74346352
1624952875,1067210,27.55737495
1624952887,1071210,31.60638428
1624952900,1075810,29.74863815
1624952900,1075910,29.80955315
1624952907,1078110,29.92193413
1624952917,1081610,30.61747169
1624952924,1084210,29.68925095
1624952927,1085110,29.28763199
1624952942,1090310,30.16589165
1624952943,1090610,29.89367294
1624952953,1094010,29.74718666
1624952954,1094410,30.10867119
1624952961,1096710,27.20480156
1624952963,1097310,27.44457626
1624952963,1097510,29.79403877
1624952977,1102110,29.97796059
1624953000,1110310,29.78816605
1624953006,1112210,28.4031105
1624953008,1113110,28.6521759
1624953027,1119910,30.01184845
1624953029,1120110,29.04026985
1624953046,1126110,30.14787483
1624953092,1142010,31.53829384
1624953107,1147310,29.72571754
1624953113,1149310,31.29476357
1624953122,1152410,30.75935555
1624953124,1153310,29.90842056
1624953129,1155010,30.85193825
1624953134,1156710,29.4445591
1624953158,1164910,30.65326118
1624953165,1167210,29.06290245
1624953168,1168610,30.54663467
1624953190,1176010,28.98771667
1624953223,1187410,30.28204918
1624953251,1197010,29.88882065
1624953253,1197510,30.20894051
1624953264,1201110,30.26654625
1624953273,1204210,31.1230278
1624953301,1213910,30.23386574
1624953309,1216510,28.7934494
1624953310,1216910,29.82151031
1624953315,1218510,30.61251259
1624953327,1222710,29.50721169
1624953347,1229110,29.34812546
1624953347,1229410,30.16145325
1624953352,1231010,31.56817627
1624953381,1240610,30.14122772
1624953396,1245910,29.59400177
1624953458,1267210,25.58397293
1624953466,1270010,30.60083008
1624953496,1280610,30.34801865
1624953517,1287810,30.06865501
1624953535,1294010,29.37550735
1624953558,1301810,29.09201241
1624953563,1303510,31.20235252
1624953571,1306210,29.97594452
1624953577,1308310,28.86426353
1624953581,1309510,30.11590958
1624953585,1311010,29.08392525
1624953601,1316710,28.73815727
1624953622,1324010,31.83394814
1624953654,1335010,29.76021767
1624953670,1340310,31.05610657
1624953670,1340710,30.44255829
1624953699,1350510,30.93331909
1624953711,1354710,29.67819214
1624953726,1359810,28.63812065
1624953733,1362110,30.34620476
1624953750,1368010,29.66683578
1624953751,1368310,30.45944023
1624953778,1377710,30.35347176
1624953789,1381110,28.32764435
1624953798,1384610,30.66074944
1624953810,1388510,29.40661621
1624953837,1397710,30.23160553
1624953843,1399910,29.84481049
1624953867,1408110,31.46992874
1624953907,1422210,30.66762161
1624953926,1428810,31.46918488
1624953928,1429510,30.87824059
1624953931,1430410,30.69502258
1624953936,1432110,29.96063423
1624953941,1433910,29.05079079
1624953958,1439810,30.03831482
1624953973,1444810,31.78572273
1624953986,1449510,30.46774292
1624954004,1455810,29.47585297
1624954026,1463310,29.09030151
