Wall time,Step,Value
1624951669.6587381,674310,29.205427169799805
1624951697.7372065,685510,26.614389419555664
1624951725.2326856,696710,28.43269157409668
1624951731.5836291,699310,27.645946502685547
1624951759.651931,710710,27.403535842895508
1624951761.7239857,711510,26.402257919311523
1624951771.7980416,715610,27.855363845825195
1624951794.518037,724810,29.72482681274414
1624951810.4632778,731210,27.933727264404297
1624951822.4242752,736010,28.540435791015625
1624951828.061028,738310,26.09095573425293
1624951844.7233899,745110,26.95943832397461
1624951847.1727118,746110,28.404781341552734
1624951847.9234178,746410,27.177648544311523
1624951851.5765612,747910,27.220186233520508
1624951859.6000447,751210,26.5615291595459
1624951904.5989075,769410,27.571504592895508
1624951921.042109,776110,28.25879669189453
1624951927.9103954,778910,27.273332595825195
1624951930.36475,779910,27.957698822021484
1624951938.9019568,783410,29.820995330810547
1624951977.5241253,799210,26.734779357910156
1624951995.9584813,806710,27.48042106628418
1624952023.886693,818110,26.543136596679688
1624952033.9431217,822210,28.12969398498535
1624952061.537752,833510,27.84270477294922
1624952068.6908183,836410,27.847837448120117
1624952069.9031408,836910,27.73659896850586
1624952072.1014295,837810,26.319944381713867
1624952094.0586863,846810,29.707706451416016
1624952094.8051734,847110,26.900127410888672
1624952101.6435995,849910,25.611454010009766
1624952104.0545492,850910,25.91714859008789
1624952127.0321093,860210,28.74835968017578
1624952135.4481893,863610,28.77020835876465
1624952150.0028799,869610,28.26485824584961
1624952180.3881984,882010,28.7513484954834
1624952194.9176166,887910,27.287994384765625
1624952201.3052726,890510,29.371004104614258
1624952202.0420413,890810,26.241491317749023
1624952207.154626,892910,29.07080841064453
1624952208.8664238,893610,28.999282836914062
1624952222.959887,899410,28.45969581604004
1624952224.5754206,900010,29.059560775756836
1624952238.4179318,905610,28.351839065551758
1624952288.6976612,926110,28.233482360839844
1624952302.6975684,931710,24.286632537841797
1624952310.521863,934910,28.343847274780273
1624952331.9101696,943610,29.111473083496094
1624952340.0027275,946910,26.827302932739258
1624952359.548867,954810,27.461870193481445
1624952361.285083,955510,28.317855834960938
1624952364.5036852,956810,26.780860900878906
1624952379.110603,962810,27.614591598510742
1624952386.4547696,965810,25.93659782409668
1624952392.0779102,968110,28.050031661987305
1624952396.5108638,969910,26.858203887939453
1624952432.0663989,984410,27.401519775390625
1624952447.6257896,990810,29.714542388916016
1624952485.0619667,1005910,27.28380012512207
1624952491.4145722,1008510,26.308162689208984
1624952538.7124596,1027710,26.074682235717773
1624952540.4437432,1028410,28.977874755859375
1624952567.976871,1039710,27.14881706237793
1624952568.7087486,1040010,27.743120193481445
1624952573.8387566,1042110,28.748363494873047
1624952588.351387,1048010,27.58467674255371
1624952599.1251705,1052310,28.165847778320312
1624952619.750903,1060810,27.308639526367188
1624952627.357117,1063910,27.747661590576172
1624952631.317776,1065510,25.68822479248047
1624952635.4827487,1067210,28.26001739501953
1624952645.2463102,1071210,27.05314826965332
1624952656.6972454,1075810,27.43675994873047
1624952656.939709,1075910,27.3564510345459
1624952662.3761656,1078110,27.957273483276367
1624952670.9801004,1081610,28.304943084716797
1624952677.3335977,1084210,27.226369857788086
1624952679.5123847,1085110,26.634525299072266
1624952692.5007603,1090310,28.7572021484375
1624952693.3006983,1090610,29.074892044067383
1624952701.6090853,1094010,27.5856876373291
1624952702.5693045,1094410,26.558120727539062
1624952708.177296,1096710,28.41582489013672
1624952709.6628606,1097310,27.383914947509766
1624952710.1491733,1097510,27.17565155029297
1624952721.7654476,1102110,28.786720275878906
1624952742.1439195,1110310,27.250749588012695
1624952746.8457747,1112210,26.936908721923828
1624952749.0452795,1113110,28.8370418548584
1624952765.7514951,1119910,27.051023483276367
1624952766.235953,1120110,26.341175079345703
1624952781.0203404,1126110,27.17746353149414
1624952820.0499697,1142010,28.516359329223633
1624952833.0708058,1147310,27.984973907470703
1624952838.219674,1149310,28.107404708862305
1624952845.8051953,1152410,28.07942771911621
1624952847.9948242,1153310,29.632383346557617
1624952852.1974428,1155010,27.88313865661621
